file,speaker,rank,mbti_type,probability,reasoning
B_vs_P_20260419_170738.txt,INTJ,1,INTJ,0.74,"The speaker is highly strategic, pattern-focused, controlled, and intent on extracting facts and exposing inconsistencies with precision and minimal emotional display."
B_vs_P_20260419_170738.txt,INTJ,2,ENTJ,0.17,"Their directness, decisiveness, and emphasis on managing the conversation toward a goal could also fit an ENTJ, though they are less overtly commanding than typical."
B_vs_P_20260419_170738.txt,INTJ,3,INTP,0.09,"The analytical deconstruction of motives and timelines suggests INTP, but the tone is much more organized, directive, and outcome-driven than exploratory."
E_vs_A_20260419_170738.txt,E,1,INTJ,0.52,"E is highly focused on isolating the core facts, controlling the pace, and cutting through emotion and ambiguity with precise, strategic language."
E_vs_A_20260419_170738.txt,E,2,ENTJ,0.28,"E shows a decisive, directive style and a strong preference for forcing clarity and accountability in a tense conflict."
E_vs_A_20260419_170738.txt,E,3,INTP,0.2,E also shows analytical detachment and a desire to reduce the situation to objective facts before engaging with it.
E_vs_A_20260419_170738.txt,A,1,ENTJ,0.46,"A is highly directive, strategic, and outcome-focused, repeatedly steering the other person toward a controlled confrontation and using decisive, no-nonsense phrasing."
E_vs_A_20260419_170738.txt,A,2,INTJ,0.34,"A consistently strips the issue to its core, analyzes motive and structure, and prioritizes a clean, efficient plan over emotional processing."
E_vs_A_20260419_170738.txt,A,3,ENTP,0.2,"A shows some quick tactical language and comfort with sparring and reframing, but is much more focused and disciplined than a typical ENTP."
E_vs_I_20260419_170738.txt,E,1,INTJ,0.58,"E speaks in strategic, controlled, outcome-focused language, emphasizing leverage, positioning, and staying a few steps back while analyzing the situation calmly."
E_vs_I_20260419_170738.txt,E,2,ENTJ,0.24,"E is direct, decisive, and directive, repeatedly setting the plan and framing the interaction in terms of objectives and handling implications later."
E_vs_I_20260419_170738.txt,E,3,INTP,0.18,"E shows analytical model-updating language and detached observation of patterns, but the tone is more organized and commanding than typical INTP tangentiality."
E_vs_I_20260419_170738.txt,I,1,INTP,0.46,"Speaker I is highly analytical and internally reflective, using model-updating, diagnostic, and structural language while processing uncertainty in a detached, curious way."
E_vs_I_20260419_170738.txt,I,2,INTJ,0.34,"They focus on strategic emotional control, positioning, and minimizing exposure, which strongly suggests an organized, outcome-oriented INTJ style."
E_vs_I_20260419_170738.txt,I,3,INFJ,0.2,"Their sensitivity to the interpersonal atmosphere and concern with the deeper implications of the reveal gives a quieter INFJ flavor, though their tone is more analytical than empathetic."
F_vs_I_20260419_170738.txt,F,1,INTJ,0.56,"F consistently speaks in strategic, systems-focused deductions, stays emotionally controlled, and drives the conversation toward a precise conclusion with confidence and patience."
F_vs_I_20260419_170738.txt,F,2,ENTJ,0.27,"F is decisive, direct, and outcome-oriented, repeatedly taking charge of the investigation and issuing crisp instructions to manage the room and force a confession."
